date,sales
2014-02-21,29
2014-02-22,28
2014-02-23,18
2014-02-24,12
2014-02-25,23
2014-02-26,24
2014-02-27,22
2014-02-28,23
2014-03-01,29
2014-03-02,24
2014-03-03,25
2014-03-04,25
2014-03-05,19
2014-03-06,16
2014-03-07,18
2014-03-08,36
2014-03-09,21
2014-03-10,17
2014-03-11,27
2014-03-12,21
2014-03-13,21
2014-03-14,19
2014-03-15,34
2014-03-16,20
2014-03-17,19
2014-03-18,21
2014-03-19,24
2014-03-20,22
2014-03-21,23
2014-03-22,28
2014-03-23,39
2014-03-24,21
2014-03-25,27
2014-03-26,27
2014-03-27,23
2014-03-28,22
2014-03-29,24
2014-03-30,26
2014-03-31,15
2014-04-01,23
2014-04-02,17
2014-04-03,24
2014-04-04,26
2014-04-05,33
2014-04-06,40
2014-04-07,18
2014-04-08,25
2014-04-09,23
2014-04-10,28
2014-04-11,23
2014-04-12,33
2014-04-13,31
2014-04-14,22
2014-04-15,27
2014-04-16,19
2014-04-17,30
2014-04-18,22
2014-04-19,35
2014-04-20,42
2014-04-21,20
2014-04-22,28
2014-04-23,19
2014-04-24,29
2014-04-25,22
2014-04-26,23
2014-04-27,28
2014-04-28,17
2014-04-29,26
2014-04-30,21
2014-05-01,30
2014-05-02,40
2014-05-03,33
2014-05-04,37
2014-05-05,21
2014-05-06,25
2014-05-07,29
2014-05-08,34
2014-05-09,32
2014-05-10,32
2014-05-11,27
2014-05-12,16
2014-05-13,22
2014-05-14,30
2014-05-15,38
2014-05-16,28
2014-05-17,45
2014-05-18,33
2014-05-19,27
2014-05-20,38
2014-05-21,24
2014-05-22,31
2014-05-23,37
2014-05-24,33
2014-05-25,34
2014-05-26,15
2014-05-27,28
2014-05-28,22
2014-05-29,29
2014-05-30,35
2014-05-31,29
2014-06-01,39
2014-06-02,20
2014-06-03,31
2014-06-04,26
2014-06-05,24
2014-06-06,43
2014-06-07,37
2014-06-08,38
2014-06-09,23
2014-06-10,41
2014-06-11,33
2014-06-12,37
2014-06-13,36
2014-06-14,37
2014-06-15,39
2014-06-16,24
2014-06-17,23
2014-06-18,31
2014-06-19,29
2014-06-20,31
2014-06-21,40
2014-06-22,32
2014-06-23,26
2014-06-24,28
2014-06-25,30
2014-06-26,29
2014-06-27,29
2014-06-28,33
2014-06-29,42
2014-06-30,24
2014-07-01,31
2014-07-02,35
2014-07-03,32
2014-07-04,35
2014-07-05,30
2014-07-06,44
2014-07-07,30
2014-07-08,39
2014-07-09,35
2014-07-10,39
2014-07-11,36
2014-07-12,50
2014-07-13,35
2014-07-14,36
2014-07-15,34
2014-07-16,38
2014-07-17,34
2014-07-18,47
2014-07-19,33
2014-07-20,45
2014-07-21,31
2014-07-22,44
2014-07-23,24
2014-07-24,38
2014-07-25,45
2014-07-26,34
2014-07-27,40
2014-07-28,31
2014-07-29,25
2014-07-30,33
2014-07-31,33
2014-08-01,31
2014-08-02,40
2014-08-03,37
2014-08-04,23
2014-08-05,32
2014-08-06,23
2014-08-07,23
2014-08-08,40
2014-08-09,30
2014-08-10,29
2014-08-11,25
2014-08-12,32
2014-08-13,33
2014-08-14,24
2014-08-15,28
2014-08-16,24
2014-08-17,39
2014-08-18,27
2014-08-19,24
2014-08-20,23
2014-08-21,29
2014-08-22,34
2014-08-23,25
2014-08-24,36
2014-08-25,20
2014-08-26,28
2014-08-27,35
2014-08-28,34
2014-08-29,31
2014-08-30,35
2014-08-31,41
2014-09-01,23
2014-09-02,30
2014-09-03,24
2014-09-04,44
2014-09-05,26
2014-09-06,38
2014-09-07,30
2014-09-08,26
2014-09-09,25
2014-09-10,34
2014-09-11,22
2014-09-12,26
2014-09-13,28
2014-09-14,44
2014-09-15,29
2014-09-16,28
2014-09-17,21
2014-09-18,32
2014-09-19,30
2014-09-20,36
2014-09-21,24
2014-09-22,29
2014-09-23,19
2014-09-24,22
2014-09-25,35
2014-09-26,31
2014-09-27,35
2014-09-28,29
2014-09-29,26
2014-09-30,26
2014-10-01,21
2014-10-02,23
2014-10-03,35
2014-10-04,31
2014-10-05,34
2014-10-06,26
2014-10-07,27
2014-10-08,28
2014-10-09,25
2014-10-10,34
2014-10-11,28
2014-10-12,31
2014-10-13,28
2014-10-14,24
2014-10-15,22
2014-10-16,23
2014-10-17,26
2014-10-18,33
2014-10-19,31
2014-10-20,28
2014-10-21,24
2014-10-22,35
2014-10-23,26
2014-10-24,24
2014-10-25,38
2014-10-26,26
2014-10-27,22
2014-10-28,27
2014-10-29,27
2014-10-30,25
2014-10-31,25
2014-11-01,35
2014-11-02,30
2014-11-03,20
2014-11-04,25
2014-11-05,27
2014-11-06,40
2014-11-07,29
2014-11-08,28
2014-11-09,37
2014-11-10,24
2014-11-11,18
2014-11-12,22
2014-11-13,23
2014-11-14,29
2014-11-15,31
2014-11-16,33
2014-11-17,23
2014-11-18,27
2014-11-19,32
2014-11-20,33
2014-11-21,28
2014-11-22,28
2014-11-23,42
2014-11-24,28
2014-11-25,28
2014-11-26,33
2014-11-27,24
2014-11-28,34
2014-11-29,32
2014-11-30,32
2014-12-01,18
2014-12-02,18
2014-12-03,16
2014-12-04,23
2014-12-05,23
2014-12-06,20
2014-12-07,23
2014-12-08,20
2014-12-09,15
2014-12-10,17
2014-12-11,19
2014-12-12,15
2014-12-13,17
2014-12-14,20
2014-12-15,17
2014-12-16,25
2014-12-17,23
2014-12-18,21
2014-12-19,21
2014-12-20,17
2014-12-21,27
2014-12-22,22
2014-12-23,23
2014-12-24,24
2014-12-25,26
2014-12-26,25
2014-12-27,23
2014-12-28,19
2014-12-29,23
2014-12-30,20
2014-12-31,20
2015-01-01,20
2015-01-02,17
2015-01-03,26
2015-01-04,24
2015-01-05,10
2015-01-06,15
2015-01-07,12
2015-01-08,20
2015-01-09,17
2015-01-10,27
2015-01-11,21
2015-01-12,10
2015-01-13,20
2015-01-14,13
2015-01-15,12
2015-01-16,22
2015-01-17,22
2015-01-18,28
2015-01-19,11
2015-01-20,9
2015-01-21,22
2015-01-22,10
2015-01-23,29
2015-01-24,30
2015-01-25,26
2015-01-26,13
2015-01-27,16
2015-01-28,26
2015-01-29,17
2015-01-30,23
2015-01-31,23
2015-02-01,29
2015-02-02,17
2015-02-03,25
2015-02-04,20
2015-02-05,27
2015-02-06,21
2015-02-07,25
2015-02-08,25
2015-02-09,15
2015-02-10,16
2015-02-11,23
2015-02-12,18
2015-02-13,19
2015-02-14,27
2015-02-15,23
2015-02-16,17
2015-02-17,19
2015-02-18,6
2015-02-19,13
2015-02-20,28
2015-02-21,33
2015-02-22,31
2015-02-23,19
2015-02-24,19
2015-02-25,23
2015-02-26,14
2015-02-27,27
2015-02-28,24
2015-03-01,37
2015-03-02,24
2015-03-03,21
2015-03-04,28
2015-03-05,33
2015-03-06,29
2015-03-07,33
2015-03-08,31
2015-03-09,26
2015-03-10,26
2015-03-11,20
2015-03-12,32
2015-03-13,27
2015-03-14,17
2015-03-15,18
2015-03-16,19
2015-03-17,21
2015-03-18,24
2015-03-19,16
2015-03-20,34
2015-03-21,34
2015-03-22,39
2015-03-23,20
2015-03-24,26
2015-03-25,20
2015-03-26,25
2015-03-27,34
2015-03-28,35
2015-03-29,22
2015-03-30,21
2015-03-31,29
2015-04-01,22
2015-04-02,27
2015-04-03,34
2015-04-04,37
2015-04-05,32
2015-04-06,30
2015-04-07,33
2015-04-08,25
2015-04-09,28
2015-04-10,35
2015-04-11,29
2015-04-12,33
2015-04-13,26
2015-04-14,25
2015-04-15,19
2015-04-16,25
2015-04-17,25
2015-04-18,37
2015-04-19,25
2015-04-20,19
2015-04-21,24
2015-04-22,31
2015-04-23,20
2015-04-24,33
2015-04-25,29
2015-04-26,35
2015-04-27,18
2015-04-28,24
2015-04-29,28
2015-04-30,40
2015-05-01,37
2015-05-02,41
2015-05-03,37
2015-05-04,22
2015-05-05,26
2015-05-06,37
2015-05-07,32
2015-05-08,33
2015-05-09,32
2015-05-10,40
2015-05-11,23
2015-05-12,30
2015-05-13,25
2015-05-14,39
2015-05-15,32
2015-05-16,32
2015-05-17,39
2015-05-18,22
2015-05-19,34
2015-05-20,16
2015-05-21,28
2015-05-22,36
2015-05-23,53
2015-05-24,32
2015-05-25,25
2015-05-26,33
2015-05-27,21
2015-05-28,25
2015-05-29,30
2015-05-30,27
2015-05-31,38
2015-06-01,28
2015-06-02,36
2015-06-03,31
2015-06-04,35
2015-06-05,41
2015-06-06,49
2015-06-07,46
2015-06-08,26
2015-06-09,31
2015-06-10,28
2015-06-11,29
2015-06-12,42
2015-06-13,38
2015-06-14,45
2015-06-15,31
2015-06-16,39
2015-06-17,30
2015-06-18,36
2015-06-19,41
2015-06-20,48
2015-06-21,37
2015-06-22,25
2015-06-23,31
2015-06-24,24
2015-06-25,33
2015-06-26,35
2015-06-27,31
2015-06-28,51
2015-06-29,31
2015-06-30,27
2015-07-01,33
2015-07-02,40
2015-07-03,46
2015-07-04,51
2015-07-05,43
2015-07-06,33
2015-07-07,45
2015-07-08,41
2015-07-09,43
2015-07-10,29
2015-07-11,31
2015-07-12,42
2015-07-13,44
2015-07-14,41
2015-07-15,35
2015-07-16,37
2015-07-17,43
2015-07-18,50
2015-07-19,35
2015-07-20,23
2015-07-21,37
2015-07-22,21
2015-07-23,36
2015-07-24,35
2015-07-25,43
2015-07-26,49
2015-07-27,34
2015-07-28,30
2015-07-29,23
2015-07-30,35
2015-07-31,47
2015-08-01,28
2015-08-02,19
2015-08-03,28
2015-08-04,32
2015-08-05,30
2015-08-06,44
2015-08-07,31
2015-08-08,37
2015-08-09,40
2015-08-10,33
2015-08-11,35
2015-08-12,26
2015-08-13,34
2015-08-14,29
2015-08-15,35
2015-08-16,30
2015-08-17,30
2015-08-18,22
2015-08-19,37
2015-08-20,33
2015-08-21,28
2015-08-22,40
2015-08-23,33
2015-08-24,26
2015-08-25,24
2015-08-26,23
2015-08-27,38
2015-08-28,32
2015-08-29,28
2015-08-30,41
2015-08-31,26
2015-09-01,30
2015-09-02,31
2015-09-03,25
2015-09-04,34
2015-09-05,28
2015-09-06,36
2015-09-07,26
2015-09-08,24
2015-09-09,24
2015-09-10,23
2015-09-11,27
2015-09-12,37
2015-09-13,37
2015-09-14,27
2015-09-15,22
2015-09-16,28
2015-09-17,35
2015-09-18,28
2015-09-19,26
2015-09-20,35
2015-09-21,24
2015-09-22,25
2015-09-23,19
2015-09-24,27
2015-09-25,28
2015-09-26,41
2015-09-27,29
2015-09-28,25
2015-09-29,22
2015-09-30,21
2015-10-01,28
2015-10-02,33
2015-10-03,25
2015-10-04,33
2015-10-05,21
2015-10-06,31
2015-10-07,20
2015-10-08,27
2015-10-09,29
2015-10-10,45
2015-10-11,35
2015-10-12,29
2015-10-13,31
2015-10-14,22
2015-10-15,24
2015-10-16,30
2015-10-17,38
2015-10-18,34
2015-10-19,14
2015-10-20,29
2015-10-21,29
2015-10-22,34
2015-10-23,39
2015-10-24,34
2015-10-25,29
2015-10-26,23
2015-10-27,24
2015-10-28,41
2015-10-29,32
2015-10-30,32
2015-10-31,39
2015-11-01,29
2015-11-02,28
2015-11-03,25
2015-11-04,25
2015-11-05,33
2015-11-06,38
2015-11-07,29
2015-11-08,42
2015-11-09,23
2015-11-10,24
2015-11-11,32
2015-11-12,29
2015-11-13,43
2015-11-14,25
2015-11-15,35
2015-11-16,24
2015-11-17,30
2015-11-18,23
2015-11-19,35
2015-11-20,34
2015-11-21,30
2015-11-22,32
2015-11-23,20
2015-11-24,29
2015-11-25,24
2015-11-26,25
2015-11-27,31
2015-11-28,38
2015-11-29,39
2015-11-30,27
2015-12-01,18
2015-12-02,24
2015-12-03,20
2015-12-04,27
2015-12-05,20
2015-12-06,22
2015-12-07,21
2015-12-08,21
2015-12-09,19
2015-12-10,23
2015-12-11,18
2015-12-12,16
2015-12-13,23
2015-12-14,15
2015-12-15,18
2015-12-16,21
2015-12-17,21
2015-12-18,31
2015-12-19,17
2015-12-20,14
2015-12-21,13
2015-12-22,21
2015-12-23,19
2015-12-24,25
2015-12-25,29
2015-12-26,19
2015-12-27,29
2015-12-28,22
2015-12-29,17
2015-12-30,25
2015-12-31,25
2016-01-01,31
2016-01-02,20
2016-01-03,34
2016-01-04,17
2016-01-05,22
2016-01-06,16
2016-01-07,22
2016-01-08,23
2016-01-09,24
2016-01-10,24
2016-01-11,23
2016-01-12,22
2016-01-13,22
2016-01-14,18
2016-01-15,22
2016-01-16,15
2016-01-17,24
2016-01-18,17
2016-01-19,14
2016-01-20,14
2016-01-21,11
2016-01-22,17
2016-01-23,24
2016-01-24,14
2016-01-25,19
2016-01-26,24
2016-01-27,30
2016-01-28,18
2016-01-29,23
2016-01-30,27
2016-01-31,19
2016-02-01,13
2016-02-02,20
2016-02-03,15
2016-02-04,23
2016-02-05,26
2016-02-06,26
2016-02-07,33
2016-02-08,16
2016-02-09,27
2016-02-10,29
2016-02-11,27
2016-02-12,28
2016-02-13,35
2016-02-14,24
2016-02-15,15
2016-02-16,20
2016-02-17,21
2016-02-18,21
2016-02-19,36
2016-02-20,36
2016-02-21,21
2016-02-22,21
2016-02-23,18
2016-02-24,21
2016-02-25,20
2016-02-26,24
2016-02-27,22
2016-02-28,29
2016-02-29,18
2016-03-01,27
2016-03-02,28
2016-03-03,28
2016-03-04,30
2016-03-05,41
2016-03-06,32
2016-03-07,21
2016-03-08,31
2016-03-09,26
2016-03-10,33
2016-03-11,28
2016-03-12,35
2016-03-13,36
2016-03-14,18
2016-03-15,18
2016-03-16,26
2016-03-17,28
2016-03-18,28
2016-03-19,29
2016-03-20,27
2016-03-21,23
2016-03-22,29
2016-03-23,27
2016-03-24,23
2016-03-25,28
2016-03-26,22
2016-03-27,34
2016-03-28,25
2016-03-29,36
2016-03-30,27
2016-03-31,24
2016-04-01,38
2016-04-02,34
2016-04-03,37
2016-04-04,30
2016-04-05,29
2016-04-06,27
2016-04-07,38
2016-04-08,40
2016-04-09,40
2016-04-10,42
2016-04-11,30
2016-04-12,29
2016-04-13,22
2016-04-14,50
2016-04-15,31
2016-04-16,39
2016-04-17,41
2016-04-18,18
2016-04-19,22
2016-04-20,32
2016-04-21,37
2016-04-22,31
2016-04-23,26
2016-04-24,43
2016-04-25,33
2016-04-26,31
2016-04-27,25
2016-04-28,28
2016-04-29,31
2016-04-30,42
2016-05-01,46
2016-05-02,24
2016-05-03,29
2016-05-04,28
2016-05-05,27
2016-05-06,46
2016-05-07,41
2016-05-08,37
2016-05-09,31
2016-05-10,23
2016-05-11,23
2016-05-12,22
2016-05-13,44
2016-05-14,39
2016-05-15,37
2016-05-16,24
2016-05-17,26
2016-05-18,29
2016-05-19,33
2016-05-20,31
2016-05-21,44
2016-05-22,28
2016-05-23,25
2016-05-24,39
2016-05-25,37
2016-05-26,40
2016-05-27,23
2016-05-28,29
2016-05-29,47
2016-05-30,27
2016-05-31,31
2016-06-01,37
2016-06-02,34
2016-06-03,42
2016-06-04,49
2016-06-05,42
2016-06-06,40
2016-06-07,40
2016-06-08,29
2016-06-09,40
2016-06-10,36
2016-06-11,42
2016-06-12,44
2016-06-13,41
2016-06-14,39
2016-06-15,43
2016-06-16,37
2016-06-17,46
2016-06-18,36
2016-06-19,38
2016-06-20,22
2016-06-21,44
2016-06-22,39
2016-06-23,32
2016-06-24,44
2016-06-25,58
2016-06-26,37
2016-06-27,32
2016-06-28,39
2016-06-29,34
2016-06-30,41
2016-07-01,48
2016-07-02,34
2016-07-03,54
2016-07-04,31
2016-07-05,37
2016-07-06,42
2016-07-07,35
2016-07-08,45
2016-07-09,53
2016-07-10,45
2016-07-11,32
2016-07-12,28
2016-07-13,42
2016-07-14,34
2016-07-15,32
2016-07-16,44
2016-07-17,37
2016-07-18,32
2016-07-19,36
2016-07-20,48
2016-07-21,41
2016-07-22,35
2016-07-23,47
2016-07-24,38
2016-07-25,38
2016-07-26,37
2016-07-27,33
2016-07-28,42
2016-07-29,36
2016-07-30,49
2016-07-31,50
2016-08-01,30
2016-08-02,42
2016-08-03,30
2016-08-04,33
2016-08-05,36
2016-08-06,43
2016-08-07,32
2016-08-08,37
2016-08-09,25
2016-08-10,29
2016-08-11,39
2016-08-12,37
2016-08-13,30
2016-08-14,31
2016-08-15,30
2016-08-16,31
2016-08-17,30
2016-08-18,38
2016-08-19,27
2016-08-20,31
2016-08-21,35
2016-08-22,27
2016-08-23,34
2016-08-24,32
2016-08-25,23
2016-08-26,36
2016-08-27,48
2016-08-28,34
2016-08-29,21
2016-08-30,26
2016-08-31,31
2016-09-01,37
2016-09-02,34
2016-09-03,40
2016-09-04,39
2016-09-05,19
2016-09-06,34
2016-09-07,32
2016-09-08,30
2016-09-09,28
2016-09-10,27
2016-09-11,35
2016-09-12,29
2016-09-13,33
2016-09-14,31
2016-09-15,24
2016-09-16,33
2016-09-17,37
2016-09-18,34
2016-09-19,23
2016-09-20,31
2016-09-21,22
2016-09-22,39
2016-09-23,33
2016-09-24,43
2016-09-25,43
2016-09-26,23
2016-09-27,29
2016-09-28,27
2016-09-29,34
2016-09-30,41
2016-10-01,22
2016-10-02,39
2016-10-03,24
2016-10-04,24
2016-10-05,28
2016-10-06,27
2016-10-07,33
2016-10-08,40
2016-10-09,39
2016-10-10,21
2016-10-11,40
2016-10-12,22
2016-10-13,31
2016-10-14,28
2016-10-15,31
2016-10-16,33
2016-10-17,30
2016-10-18,18
2016-10-19,28
2016-10-20,37
2016-10-21,25
2016-10-22,31
2016-10-23,38
2016-10-24,22
2016-10-25,24
2016-10-26,15
2016-10-27,30
2016-10-28,26
2016-10-29,38
2016-10-30,25
2016-10-31,20
2016-11-01,27
2016-11-02,26
2016-11-03,34
2016-11-04,38
2016-11-05,43
2016-11-06,43
2016-11-07,30
2016-11-08,21
2016-11-09,21
2016-11-10,20
2016-11-11,43
2016-11-12,39
2016-11-13,44
2016-11-14,24
2016-11-15,22
2016-11-16,27
2016-11-17,25
2016-11-18,42
2016-11-19,33
2016-11-20,30
2016-11-21,32
2016-11-22,32
2016-11-23,35
2016-11-24,30
2016-11-25,44
2016-11-26,35
2016-11-27,24
2016-11-28,24
2016-11-29,26
2016-11-30,24
2016-12-01,27
2016-12-02,17
2016-12-03,29
2016-12-04,26
2016-12-05,31
2016-12-06,20
2016-12-07,22
2016-12-08,18
2016-12-09,27
2016-12-10,27
2016-12-11,34
2016-12-12,16
2016-12-13,22
2016-12-14,18
2016-12-15,25
2016-12-16,29
2016-12-17,17
2016-12-18,24
2016-12-19,28
2016-12-20,16
2016-12-21,18
2016-12-22,25
2016-12-23,20
2016-12-24,23
2016-12-25,21
2016-12-26,22
2016-12-27,19
2016-12-28,25
2016-12-29,25
2016-12-30,33
2016-12-31,24
2017-01-01,33
2017-01-02,19
2017-01-03,20
2017-01-04,18
2017-01-05,20
2017-01-06,30
2017-01-07,24
2017-01-08,18
2017-01-09,19
2017-01-10,24
2017-01-11,16
2017-01-12,21
2017-01-13,30
2017-01-14,24
2017-01-15,23
2017-01-16,16
2017-01-17,21
2017-01-18,21
2017-01-19,23
2017-01-20,35
2017-01-21,17
2017-01-22,25
2017-01-23,16
2017-01-24,22
2017-01-25,11
2017-01-26,21
2017-01-27,23
2017-01-28,18
2017-01-29,24
2017-01-30,16
2017-01-31,17
2017-02-01,22
2017-02-02,28
2017-02-03,22
2017-02-04,25
2017-02-05,37
2017-02-06,18
2017-02-07,24
2017-02-08,24
2017-02-09,31
2017-02-10,28
2017-02-11,29
2017-02-12,32
2017-02-13,10
2017-02-14,27
2017-02-15,25
2017-02-16,25
2017-02-17,21
2017-02-18,26
2017-02-19,34
2017-02-20,19
2017-02-21,16
2017-02-22,19
2017-02-23,20
2017-02-24,29
2017-02-25,29
2017-02-26,28
2017-02-27,22
2017-02-28,17
2017-03-01,32
2017-03-02,23
2017-03-03,34
2017-03-04,36
2017-03-05,40
2017-03-06,19
2017-03-07,17
2017-03-08,23
2017-03-09,28
2017-03-10,31
2017-03-11,29
2017-03-12,30
2017-03-13,21
2017-03-14,24
2017-03-15,25
2017-03-16,23
2017-03-17,28
2017-03-18,32
2017-03-19,32
2017-03-20,22
2017-03-21,31
2017-03-22,24
2017-03-23,29
2017-03-24,27
2017-03-25,33
2017-03-26,37
2017-03-27,15
2017-03-28,28
2017-03-29,18
2017-03-30,25
2017-03-31,26
2017-04-01,41
2017-04-02,38
2017-04-03,27
